City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Srednekolymsk,RU,67.45,153.6833,32.13,91,100,2.91,overcast clouds
119,Soe,ID,-9.8607,124.284,89.01,33,99,8.81,overcast clouds
120,Georgetown,MY,5.4112,100.3354,86.9,73,20,1.01,few clouds
121,Barrow,US,71.2906,-156.7887,27.66,93,100,18.45,light snow
122,Saint-Augustin,CA,51.226,-58.6502,43.43,93,100,26.37,overcast clouds
123,Port Elizabeth,ZA,-33.918,25.5701,56.1,82,82,17.85,broken clouds
124,San Cristobal,VE,7.7669,-72.225,69.98,91,7,1.79,clear sky
125,Tasiilaq,GL,65.6145,-37.6368,28.71,50,6,6.22,clear sky
126,Baykit,RU,61.67,96.37,37.49,99,100,2.04,light rain
127,Mar Del Plata,AR,-38.0023,-57.5575,54.12,62,8,8.99,fog
128,Souillac,MU,-20.5167,57.5167,76.35,73,75,12.66,broken clouds
129,Hervey Bay,AU,-25.2986,152.8535,86.04,59,0,12.15,clear sky
130,Zhigansk,RU,66.7697,123.3711,36.09,53,41,17.2,scattered clouds
131,Gornyy,RU,55.1153,83.9059,37.8,99,100,8.86,light rain
132,Teguise,ES,29.0605,-13.564,70.02,73,0,16.11,clear sky
133,Taos,US,36.4072,-105.5731,49.73,82,98,8.01,overcast clouds
134,Emirdag,TR,39.0197,31.15,44.35,90,0,2.48,clear sky
135,Altamont,US,42.2068,-121.7372,58.89,59,2,6.4,clear sky
136,Mgandu,TZ,-5.95,34.1333,61.3,71,22,8.68,few clouds
137,Caraquet,CA,47.7941,-64.9386,46.94,96,100,7.23,overcast clouds
138,Kidal,ML,18.4411,1.4078,82.53,14,53,11.16,broken clouds
139,Alta Floresta,BR,-9.8756,-56.0861,69.13,95,83,1.66,broken clouds
140,Jalu,LY,29.0331,21.5482,67.59,62,0,8.25,clear sky
141,Burnie,AU,-41.0667,145.9167,57.69,92,100,2.68,light rain
142,Saint-Philippe,RE,-21.3585,55.7679,74.75,72,35,12.26,scattered clouds
143,Sorland,NO,67.667,12.6934,51.67,87,100,13.65,light rain
144,Fare,PF,-16.7,-151.0167,79.21,74,4,18.41,clear sky
145,Esperance,AU,-33.8667,121.9,60.64,60,30,26.04,scattered clouds
146,Kununurra,AU,-15.7667,128.7333,100.38,19,10,5.75,clear sky
147,Blythe,US,33.6103,-114.5964,82.18,17,0,4.92,clear sky
148,Tiksi,RU,71.6872,128.8694,31.87,72,38,6.44,scattered clouds
149,Vardo,NO,70.3705,31.1107,46.49,84,93,21.61,overcast clouds
150,Oranjemund,NA,-28.55,16.4333,55.9,91,66,12.66,broken clouds
151,Mackay,AU,-21.15,149.2,93.69,42,0,10.36,clear sky
152,Saint Austell,GB,50.3383,-4.7658,57.02,82,100,12.66,overcast clouds
153,Geraldton,AU,-28.7667,114.6,69.13,56,90,11.5,overcast clouds
154,Rio Claro,BR,-22.4114,-47.5614,69.78,87,100,5.19,overcast clouds
155,Lebu,CL,-37.6167,-73.65,46.45,83,86,19.53,overcast clouds
156,Neuquen,AR,-38.9516,-68.0591,60.69,33,75,16.11,broken clouds
157,Airai,TL,-8.9266,125.4092,80.83,37,99,2.89,overcast clouds
158,Vao,NC,-22.6667,167.4833,71.06,90,100,25.43,moderate rain
159,Haines Junction,CA,60.7522,-137.5108,37.35,93,100,1.14,overcast clouds
160,Oktyabrskiy,RU,54.4815,53.471,47.25,80,100,4.72,overcast clouds
161,Isangel,VU,-19.55,169.2667,75.31,100,90,5.75,light rain
162,Longyearbyen,SJ,78.2186,15.6401,36.28,96,100,4.23,overcast clouds
163,Nakamura,JP,32.9833,132.9333,85.5,36,0,3.09,clear sky
164,Fortuna,US,40.5982,-124.1573,59.41,72,40,0.0,scattered clouds
165,Along,IN,28.1667,94.7667,84.45,69,45,1.36,scattered clouds
166,Caravelas,BR,-17.7125,-39.2481,74.19,83,0,10.58,clear sky
167,Qaanaaq,GL,77.484,-69.3632,25.38,95,100,7.85,overcast clouds
168,Ginir,ET,7.1333,40.7,60.12,87,100,3.74,light rain
169,Mandurah,AU,-32.55,115.7,66.9,62,68,20.71,broken clouds
170,Yellowknife,CA,62.456,-114.3525,45.41,99,40,3.0,scattered clouds
171,Bandarbeyla,SO,9.4942,50.8122,80.11,77,11,24.2,few clouds
172,Anloga,GH,5.7947,0.8973,77.22,85,100,4.99,moderate rain
173,Hamilton,US,39.1834,-84.5333,62.78,80,2,3.04,clear sky
