City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Yumen,CN,2021-09-30 22:19:37,40.2833,97.2,55.02,31,24,7.49
114,Lichinga,MZ,2021-09-30 22:19:38,-13.3128,35.2406,69.58,47,48,8.41
115,Auki,SB,2021-09-30 22:19:38,-8.7676,160.7034,81.45,75,100,3.31
116,Katsuura,JP,2021-09-30 22:19:39,35.1333,140.3,70.11,96,100,28.3
117,Codrington,AU,2021-09-30 22:19:40,-38.2667,141.9667,56.19,95,100,19.48
118,Aguimes,ES,2021-09-30 22:19:41,27.9054,-15.4461,72.23,79,20,27.63
119,Baie-Comeau,CA,2021-09-30 22:19:42,49.2168,-68.1489,47.88,93,90,9.22
120,Amga,RU,2021-09-30 22:19:43,60.8953,131.9608,33.89,98,100,4.7
121,Atuona,PF,2021-09-30 22:19:44,-9.8,-139.0333,78.19,68,7,17.25
122,Puerto Ayora,EC,2021-09-30 22:19:45,-0.7393,-90.3518,76.96,87,69,9.19
123,Sabang,ID,2021-09-30 22:19:45,5.8933,95.3214,80.58,78,100,8.86
124,Christchurch,NZ,2021-09-30 22:15:21,-43.5333,172.6333,57.4,59,0,5.75
125,Governador Valadares,BR,2021-09-30 22:19:47,-18.8511,-41.9494,79.68,59,12,8.81
126,Esperance,AU,2021-09-30 22:19:49,-33.8667,121.9,55.24,74,2,7.43
127,Miyako,JP,2021-09-30 22:19:49,39.6367,141.9525,67.89,96,100,4.14
128,Tiksi,RU,2021-09-30 22:19:50,71.6872,128.8694,28.87,76,79,5.41
129,Jalu,LY,2021-09-30 22:19:51,29.0331,21.5482,75.61,60,27,11.61
130,Varca,IN,2021-09-30 22:19:52,15.2167,73.9167,76.84,89,36,2.26
131,Bani Walid,LY,2021-09-30 22:19:52,31.7566,13.9942,69.17,75,0,7.76
132,Coquimbo,CL,2021-09-30 22:19:53,-29.9533,-71.3436,60.53,72,0,12.66
133,Surakarta,ID,2021-09-30 22:19:54,-7.5561,110.8317,74.55,87,63,11.05
134,Kaitangata,NZ,2021-09-30 22:19:55,-46.2817,169.8464,53.92,57,89,11.79
135,Muros,ES,2021-09-30 22:15:06,42.7762,-9.0603,61.23,83,99,6.08
136,Kieta,PG,2021-09-30 22:19:56,-6.2167,155.6333,79.43,85,100,3.06
137,Luau,AO,2021-09-30 22:19:57,-10.7073,22.2247,68.2,81,100,6.15
138,Porto Novo,BJ,2021-09-30 22:19:58,6.4965,2.6036,80.42,86,97,4.03
139,Severo-Kurilsk,RU,2021-09-30 22:19:59,50.6789,156.125,47.82,96,100,19.13
140,Georgetown,MY,2021-09-30 22:18:02,5.4112,100.3354,82.33,89,20,0.0
141,Husavik,IS,2021-09-30 22:20:00,66.0449,-17.3389,42.71,80,100,14.65
142,Hobart,AU,2021-09-30 22:16:24,-42.8794,147.3294,56.12,98,90,1.99
