City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
269,Nha Trang,VN,87.8,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
271,Upata,VE,76.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
282,Jacqueville,CI,78.71,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
285,Kavaratti,IN,78.37,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
286,Trinidad,BO,85.39,scattered clouds,-14.8333,-64.9,Hotel Piesta
287,Roebourne,AU,82.65,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
289,Huilong,CN,85.98,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
290,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
292,Kieta,PG,84.06,light rain,-6.2167,155.6333,Uruna Bay Retreat
294,Sokoto,NG,78.73,overcast clouds,13.0609,5.239,Shukura Coral Hotel
300,Shimoga,IN,79.95,overcast clouds,13.9167,75.5667,CLIFF EMBASSY BANQUET AND SUITES
301,Seoul,KR,79.21,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
302,Guiratinga,BR,79.09,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
303,Sao Filipe,CV,78.76,few clouds,14.8961,-24.4956,Hotel Xaguate
307,Shimoda,JP,82.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
308,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
309,Hobyo,SO,79.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
310,Iracoubo,GF,81.25,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
312,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
314,Bongaree,AU,87.53,few clouds,-27.0797,153.1586,The Gums Anchorage
317,Poum,NC,75.24,overcast clouds,-20.2333,164.0167,Gîte kajeon
321,Laguna,US,76.23,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
325,Ballina,AU,80.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
326,Bahia Honda,CU,76.33,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
328,Morgan City,US,77.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
329,Atambua,ID,86.68,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
334,Labuhan,ID,85.5,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
338,Pozo Colorado,PY,80.58,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
342,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
347,Kupang,ID,85.87,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
358,Arona,ES,76.91,clear sky,28.0996,-16.681,Paradise Court
359,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
365,Iranshahr,IR,89.94,overcast clouds,27.2025,60.6848,نیک سرشت
367,Mundwa,IN,88.77,scattered clouds,27.0667,73.8167,Praveen mundel MDW places
374,Jiexiu,CN,79.21,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
375,Salinopolis,BR,79.25,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
376,Kinablangan,PH,85.8,broken clouds,7.6947,126.5503,Danny Moreno Property
388,Bilma,NE,78.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
395,Mogadishu,SO,78.67,scattered clouds,2.0371,45.3438,Hotel Juba
401,Hit,IQ,80.94,scattered clouds,33.6416,42.8251,صالون زيرو
403,Sorong,ID,81.86,overcast clouds,-0.8833,131.25,waigo splash hotel
410,Naze,JP,83.32,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
412,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
415,Buchanan,LR,75.63,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
425,Ibotirama,BR,82.47,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
428,Nuevo Progreso,MX,79.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
